Language,Date,Word,PuzzleNumber
English,07/03/2024,like,#769
English,06/03/2024,even,#768
English,05/03/2024,wage,#767
English,04/03/2024,construct,#766
English,03/03/2024,no,#765
English,02/03/2024,diagnosis,#764
English,01/03/2024,helpful,#763
English,29/02/2024,preference,#762
English,28/02/2024,bread,#761
English,27/02/2024,prosecutor,#760
English,26/02/2024,clinic,#759
English,25/02/2024,return,#758
English,24/02/2024,shirt,#757
English,23/02/2024,pay,#756
English,22/02/2024,contain,#755
English,21/02/2024,fire,#754
English,20/02/2024,lane,#753
English,19/02/2024,governor,#752
English,18/02/2024,shift,#751
English,17/02/2024,weight,#750
English,16/02/2024,habit,#749
English,15/02/2024,transaction,#748
English,14/02/2024,credit,#747
English,13/02/2024,casual,#746
English,12/02/2024,impact,#745
English,11/02/2024,formal,#744
English,10/02/2024,withdraw,#743
English,09/02/2024,shall,#742
English,08/02/2024,try,#741
English,07/02/2024,superior,#740
English,06/02/2024,satisfy,#739
English,05/02/2024,currency,#738
English,04/02/2024,classical,#737
English,03/02/2024,basketball,#736
English,02/02/2024,church,#735
English,01/02/2024,denial,#734
English,31/01/2024,learning,#733
English,30/01/2024,memory,#732
English,29/01/2024,movement,#731
English,28/01/2024,embrace,#730
English,27/01/2024,cup,#729
English,26/01/2024,FALSE,#728
English,25/01/2024,age,#727
English,24/01/2024,nurse,#726
English,23/01/2024,oh,#725
English,22/01/2024,revolution,#724
English,21/01/2024,arrange,#723
English,20/01/2024,supermarket,#722
English,19/01/2024,steal,#721
English,18/01/2024,lose,#720
English,17/01/2024,drill,#719
English,16/01/2024,friend,#718
English,15/01/2024,photograph,#717
English,14/01/2024,split,#716
English,13/01/2024,order,#715
English,12/01/2024,your,#714
English,11/01/2024,tip,#713
English,10/01/2024,go,#712
English,09/01/2024,dog,#711
English,08/01/2024,cast,#710
English,07/01/2024,cognitive,#709
English,06/01/2024,lemon,#708
English,05/01/2024,relatively,#707
English,04/01/2024,instruct,#706
English,03/01/2024,soft,#705
English,02/01/2024,greatest,#704
English,01/01/2024,haul,#703
English,31/12/2023,radical,#702
English,30/12/2023,side,#701
English,29/12/2023,suspect,#700
English,28/12/2023,consider,#699
English,27/12/2023,grave,#698
English,26/12/2023,replace,#697
English,25/12/2023,extraordinary,#696
English,24/12/2023,condemn,#695
English,23/12/2023,left,#694
English,22/12/2023,be,#693
English,21/12/2023,pop,#692
English,20/12/2023,credibility,#691
English,19/12/2023,starter,#690
English,18/12/2023,flip,#689
English,17/12/2023,unemployment,#688
English,16/12/2023,marriage,#687
English,15/12/2023,faith,#686
English,14/12/2023,stimulate,#685
English,13/12/2023,locate,#684
English,12/12/2023,mysterious,#683
English,11/12/2023,supervisor,#682
English,10/12/2023,purpose,#681
English,09/12/2023,remove,#680
English,08/12/2023,catalog,#679
English,07/12/2023,dirt,#678
English,06/12/2023,yes,#677
English,05/12/2023,majority,#676
English,04/12/2023,cattle,#675
English,03/12/2023,terrorist,#674
English,02/12/2023,retire,#673
English,01/12/2023,flow,#672
English,30/11/2023,kneel,#671
English,29/11/2023,thread,#670
English,28/11/2023,speech,#669
English,27/11/2023,remain,#668
English,26/11/2023,unlikely,#667
English,25/11/2023,spell,#666
English,24/11/2023,settlement,#665
English,23/11/2023,statistical,#664
English,22/11/2023,average,#663
English,21/11/2023,brutal,#662
English,20/11/2023,final,#661
English,19/11/2023,entrance,#660
English,18/11/2023,brilliant,#659
English,17/11/2023,cake,#658
English,16/11/2023,retain,#657
English,15/11/2023,review,#656
English,14/11/2023,till,#655
English,13/11/2023,fan,#654
English,12/11/2023,midst,#653
English,11/11/2023,consult,#652
English,10/11/2023,whole,#651
English,09/11/2023,symbol,#650
English,08/11/2023,effect,#649
English,07/11/2023,violence,#648
English,06/11/2023,set,#647
English,05/11/2023,attendance,#646
English,04/11/2023,determine,#645
English,03/11/2023,nature,#644
English,02/11/2023,rest,#643
English,01/11/2023,elsewhere,#642
English,31/10/2023,division,#641
English,30/10/2023,institutional,#640
English,29/10/2023,discuss,#639
English,28/10/2023,chronic,#638
English,27/10/2023,pile,#637
English,26/10/2023,widow,#636
English,25/10/2023,dimension,#635
English,24/10/2023,communication,#634
English,23/10/2023,reply,#633
English,22/10/2023,consequence,#632
English,21/10/2023,handsome,#631
English,20/10/2023,closely,#630
English,19/10/2023,million,#629
English,18/10/2023,saving,#628
English,17/10/2023,destination,#627
English,16/10/2023,illegal,#626
English,15/10/2023,secret,#625
English,14/10/2023,chocolate,#624
English,13/10/2023,nervous,#623
English,12/10/2023,car,#622
English,11/10/2023,brand,#621
English,10/10/2023,loud,#620
English,09/10/2023,legislative,#619
English,08/10/2023,sir,#618
English,07/10/2023,conclude,#617
English,06/10/2023,worth,#616
English,05/10/2023,sanction,#615
English,04/10/2023,reputation,#614
English,03/10/2023,jewelry,#613
English,02/10/2023,reject,#612
English,01/10/2023,interesting,#611
English,30/09/2023,establish,#610
English,29/09/2023,bias,#609
English,28/09/2023,scary,#608
English,27/09/2023,alone,#607
English,26/09/2023,negotiate,#606
English,25/09/2023,surveillance,#605
English,24/09/2023,company,#604
English,23/09/2023,recession,#603
English,22/09/2023,buyer,#602
English,21/09/2023,innovative,#601
English,20/09/2023,congressional,#600
English,19/09/2023,civil,#599
English,18/09/2023,casino,#598
English,17/09/2023,disability,#597
English,16/09/2023,pour,#596
English,15/09/2023,bronze,#595
English,14/09/2023,legislature,#594
English,13/09/2023,priest,#593
English,12/09/2023,fault,#592
English,11/09/2023,sweet,#591
English,10/09/2023,loyalty,#590
English,09/09/2023,tiny,#589
English,08/09/2023,textbook,#588
English,07/09/2023,bear,#587
English,06/09/2023,gesture,#586
English,31/08/2023,Hang,#585
English,31/08/2023,dependent,#584
English,31/08/2023,Oxygen,#583
English,31/08/2023,Recipe,#582
English,31/08/2023,Research,#581
English,31/07/2023,Provided,#580
English,31/07/2023,Transform,#579
English,31/07/2023,Swimming,#578
English,31/07/2023,Point,#577
English,31/07/2023,Digital,#576
English,31/07/2023,ridiculous,#575
English,31/07/2023,corner,#574
English,31/07/2023,original,#573
English,31/07/2023,Garbage,#572
English,31/07/2023,Choose,#571
English,31/07/2023,Dress,#570
English,31/07/2023,Onion,#569
English,31/07/2023,Handful,#568
English,31/07/2023,Compete,#567
English,31/07/2023,Straw,#566
English,31/07/2023,Palm,#565
English,31/07/2023,reverse,#564
English,31/07/2023,straw,#563
English,31/07/2023,palm,#562
English,31/07/2023,ambition,#561
English,31/07/2023,yellow,#560
English,31/07/2023,Mention,#559
English,31/07/2023,Tournament,#558
English,31/07/2023,Liberty,#557
English,31/07/2023,Participant,#556
English,31/07/2023,Collective,#555
English,31/07/2023,Explode,#554
English,31/07/2023,Astronomer,#553
English,31/07/2023,Work,#552
English,31/07/2023,Acid,#551
English,31/07/2023,Regard,#550
English,30/06/2023,Competition,#549
English,30/06/2023,Junior,#548
English,30/06/2023,Stroke,#547
English,30/06/2023,Borrow,#546
English,30/06/2023,Crash,#545
English,30/06/2023,Butterfly,#544
English,30/06/2023,Leave,#543
English,30/06/2023,Obviously,#542
English,30/06/2023,Privacy,#541
English,30/06/2023,though,#540
English,30/06/2023,Mixed,#539
English,30/06/2023,Agree,#538
English,30/06/2023,glove,#537
English,30/06/2023,Wise,#536
English,30/06/2023,Comparable,#535
English,30/06/2023,Adoption,#534
English,30/06/2023,Upstairs,#533
English,30/06/2023,Drug,#532
English,30/06/2023,Senior,#531
English,30/06/2023,Currently,#530
English,30/06/2023,Northern,#529
English,30/06/2023,Fascinating,#528
English,30/06/2023,Analyst,#527
English,30/06/2023,Wolf,#526
English,30/06/2023,Person,#525
English,30/06/2023,Properly,#524
English,30/06/2023,Associated,#523
English,30/06/2023,Homework,#522
English,30/06/2023,Obvious,#521
English,30/06/2023,Contemplate,#520
English,30/06/2023,sodium,#519
English,31/05/2023,testify,#518
English,31/05/2023,Tragic,#517
English,31/05/2023,Rail,#516
English,31/05/2023,Reader,#515
English,31/05/2023,Electronic,#514
English,31/05/2023,Policeman,#513
English,31/05/2023,Quarterback,#512
English,31/05/2023,Tighten,#511
English,31/05/2023,Transport,#510
English,31/05/2023,Greatly,#509
English,31/05/2023,PRICE,#508
English,31/05/2023,COMMUNITY,#507
English,31/05/2023,FIGURE,#506
English,31/05/2023,FACILITATE,#505
English,31/05/2023,CONSISTENTLY,#504
English,31/05/2023,JUST,#503
English,31/05/2023,ASSISTANCE,#502
English,31/05/2023,SOMEWHAT,#501
English,31/05/2023,STRETCH,#500
English,31/05/2023,PURE,#499
English,31/05/2023,DESIRE,#498
English,31/05/2023,ROOM,#497
English,31/05/2023,RATHER,#496
English,31/05/2023,LUCK,#495
English,31/05/2023,DECADE,#494
English,31/05/2023,CORD,#493
English,31/05/2023,RIDE,#492
English,31/05/2023,EMISSION,#491
English,31/05/2023,ABROAD,#490
English,31/05/2023,EASILY,#489
English,30/04/2023,CRITERIA,#488
English,30/04/2023,FOREIGN,#487
English,30/04/2023,weaken,#486
English,30/04/2023,powerful,#485
English,30/04/2023,TRANSIT,#484
English,30/04/2023,PASTA,#483
English,30/04/2023,VARIETY,#482
English,30/04/2023,RUB,#481
English,30/04/2023,LENGTH,#480
English,30/04/2023,ENCOURAGING,#479
English,30/04/2023,THEREBY,#478
English,30/04/2023,BLANK,#477
English,30/04/2023,PRODUCTION,#476
English,30/04/2023,RUN,#475
English,30/04/2023,SAFELY,#474
English,30/04/2023,DELIVERY,#473
English,30/04/2023,MEDIUM,#472
English,30/04/2023,THEM,#471
English,30/04/2023,URGE,#470
English,30/04/2023,WHEELCHAIR,#469
English,30/04/2023,DISCOURSE,#468
English,30/04/2023,ASSEMBLY,#467
English,30/04/2023,OCCUPATION,#466
English,30/04/2023,VIRUS,#465
English,30/04/2023,GHOST,#464
English,30/04/2023,REGION,#463
English,30/04/2023,BELLY,#462
English,30/04/2023,PRESS,#461
English,30/04/2023,SENSITIVE,#460
English,30/04/2023,MUTUAL,#459
English,30/04/2023,JOURNAL,#458
English,31/03/2023,SPECIFICALLY,#457
English,31/03/2023,FIGHTING,#456
English,31/03/2023,CANDY,#455
English,31/03/2023,DRAMATICALLY,#454
English,31/03/2023,CAPABLE,#453
English,31/03/2023,WARN,#452
English,31/03/2023,COIN,#451
English,31/03/2023,ORGANIZED,#450
English,31/03/2023,INFANT,#449
English,31/03/2023,SACK,#448
English,31/03/2023,ALIEN,#447
English,31/03/2023,RACK,#446
English,31/03/2023,TREAT,#445
English,31/03/2023,TALENT,#444
English,31/03/2023,ALLY,#443
English,31/03/2023,MEASUREMENT,#442
English,31/03/2023,FRAME,#441
English,31/03/2023,ENDURE,#440
English,31/03/2023,IMPROVE,#439
English,31/03/2023,DEAL,#438
English,31/03/2023,BRING,#437
English,31/03/2023,SOMETIME,#436
English,31/03/2023,EAST,#435
English,31/03/2023,LAWN,#434
English,31/03/2023,RIM,#433
English,31/03/2023,RESUME,#432
English,31/03/2023,DEVICE,#431
English,31/03/2023,SUPPORTIVE,#430
English,31/03/2023,PLANNER,#429
English,31/03/2023,LABORATORY,#428
English,28/02/2023,AIRCRAFT,#427
English,28/02/2023,REAR,#426
English,28/02/2023,TRANSMISSION,#425
English,28/02/2023,CEILING,#424
English,28/02/2023,WIDESPREAD,#423
English,28/02/2023,WET,#422
English,28/02/2023,HIDDEN,#421
English,28/02/2023,FLOOR,#420
English,28/02/2023,SUCK,#419
English,28/02/2023,FRIENDSHIP,#418
English,28/02/2023,UNITE,#417
English,28/02/2023,CYCLE,#416
English,28/02/2023,THICK,#415
English,28/02/2023,PERFECT,#414
English,28/02/2023,UPON,#413
English,28/02/2023,SPRING,#412
English,28/02/2023,STRONGLY,#411
English,28/02/2023,INTENSITY,#410
English,28/02/2023,MEANINGFUL,#409
English,28/02/2023,FIRM,#408
English,28/02/2023,CRUISE,#407
English,28/02/2023,FADE,#406
English,28/02/2023,PREACH,#405
English,28/02/2023,NEIGHBORHOOD,#404
English,28/02/2023,PUBLICLY,#403
English,28/02/2023,UNKNOWN,#402
English,28/02/2023,KEY,#401
English,28/02/2023,ORIENTATION,#400
English,28/02/2023,OCCASIONALLY,#399
English,28/02/2023,EFFECTIVE,#398
English,28/02/2023,INSTEAD,#397
English,31/01/2023,ROBOT,#396
English,31/01/2023,CIVIC,#395
English,31/01/2023,DISTINCT,#394
English,31/01/2023,HEADLINE,#393
English,31/01/2023,THOROUGHLY,#392
English,31/01/2023,APPEAL,#391
English,31/01/2023,DEVIL,#390
English,31/01/2023,EVERYDAY,#389
English,31/01/2023,WALK,#388
English,31/01/2023,BRAIN,#387
English,31/01/2023,RENDER,#386
English,31/01/2023,SOIL,#385
English,31/01/2023,WORRIED,#384
English,31/01/2023,SIGNIFICANT,#383
English,31/01/2023,INCREASED,#382
English,31/01/2023,EXPENSIVE,#381
English,31/01/2023,COAT,#380
English,31/01/2023,ONLINE,#379
English,31/01/2023,PRECISE,#378
English,31/01/2023,DEAR,#377
English,31/01/2023,SURPRISING,#376
English,31/01/2023,WILL,#375
English,31/01/2023,STUFF,#374
English,31/01/2023,QUANTITY,#373
English,31/01/2023,BITE,#372
English,31/01/2023,DESPITE,#371
English,31/01/2023,VISIT,#370
English,31/01/2023,GUITAR,#369
English,31/12/2022,COOK,#368
English,31/12/2022,HOPE,#367
English,31/12/2022,OWNER,#366
English,31/12/2022,ENSURE,#365
English,31/12/2022,MARKET,#364
English,31/12/2022,FEW,#363
English,31/12/2022,HUMAN,#362
English,31/12/2022,DIMINISH,#361
English,31/12/2022,BRUSH,#360
English,31/12/2022,PSYCHOLOGICAL,#359
English,31/12/2022,HOUSEHOLD,#358
English,31/12/2022,BISHOP,#357
English,31/12/2022,FINDING,#356
English,31/12/2022,RESISTANCE,#355
English,31/12/2022,PREDICT,#354
English,31/12/2022,PATIENCE,#353
English,31/12/2022,EDUCATION,#352
English,31/12/2022,TREATY,#351
English,31/12/2022,SIMILAR,#350
English,31/12/2022,MESS,#349
English,31/12/2022,UNIVERSAL,#348
English,31/12/2022,FRAUD,#347
English,31/12/2022,PASS,#346
English,31/12/2022,COMMISSIONER,#345
English,31/12/2022,DOLL,#344
English,31/12/2022,FINALLY,#343
English,31/12/2022,SHUT,#342
English,31/12/2022,HUMAN,#341
English,31/12/2022,VILLAGE,#340
English,31/12/2022,LITTLE,#339
English,31/12/2022,ATTRACT,#338
English,30/11/2022,FORMER,#337
English,30/11/2022,SPENDING,#336
English,30/11/2022,SUPPLY,#335
English,30/11/2022,MAGNITUDE,#334
English,30/11/2022,CORRECT,#333
English,30/11/2022,DIRECTOR,#332
English,30/11/2022,FORCE,#331
English,30/11/2022,SPOON,#330
English,30/11/2022,IMPORTANCE,#329
English,30/11/2022,BUS,#328
English,30/11/2022,BANKRUPTCY,#327
English,30/11/2022,MAXIMUM,#326
English,30/11/2022,CONFUSION,#325
English,30/11/2022,FENCE,#324
English,30/11/2022,SAIL,#323
English,30/11/2022,EQUALLY,#322
English,30/11/2022,LIFE,#321
English,30/11/2022,COP,#320
English,30/11/2022,QUICKLY,#319
English,30/11/2022,CUSTOM,#318
English,30/11/2022,MILL,#317
English,30/11/2022,COMBINATION,#316
English,30/11/2022,CONCERNING,#315
English,30/11/2022,WALL,#314
English,30/11/2022,HERITAGE,#313
English,30/11/2022,STRAIN,#312
English,30/11/2022,UNEXPECTED,#311
English,30/11/2022,POOL,#310
English,30/11/2022,EATING,#309
English,30/11/2022,CUSTODY,#308
English,30/11/2022,GALAXY,#307
English,31/10/2022,ODDS,#306
English,31/10/2022,BIND,#305
English,31/10/2022,DELIVER,#304
English,31/10/2022,SKILLED,#303
English,31/10/2022,CLOTH,#302
English,31/10/2022,SUFFICIENT,#301
English,31/10/2022,PRESIDENTIAL,#300
English,31/10/2022,PROPOSE,#299
English,31/10/2022,INTERNAL,#298
English,31/10/2022,THIN,#297
English,31/10/2022,ANYMORE,#296
English,31/10/2022,COUSIN,#295
English,31/10/2022,STUDENT,#294
English,31/10/2022,COOPERATIVE,#293
English,31/10/2022,PAPER,#292
English,31/10/2022,INTERVAL,#291
English,31/10/2022,WHERE,#290
English,31/10/2022,IMMEDIATE,#289
English,31/10/2022,TOLL,#288
English,31/10/2022,DESIGN,#287
English,31/10/2022,RELIABLE,#286
English,31/10/2022,INVESTIGATION,#285
English,31/10/2022,GLORY,#284
English,31/10/2022,SPHERE,#283
English,31/10/2022,MULTIPLE,#282
English,31/10/2022,REQUIREMENT,#281
English,31/10/2022,INITIAL,#280
English,31/10/2022,AMENDMENT,#279
English,31/10/2022,SOUP,#278
English,31/10/2022,STUMBLE,#277
English,30/09/2022,Barrel,#276
English,30/09/2022,ARGUE,#275
English,30/09/2022,RARE,#274
English,30/09/2022,RESOLUTION,#273
English,30/09/2022,ACCESSIBLE,#272
English,30/09/2022,Free,#271
English,30/09/2022,Psychology,#270
English,30/09/2022,Negotiation,#269
English,30/09/2022,Mutter,#268
English,30/09/2022,Spine,#267
English,30/09/2022,Puzzle,#266
English,30/09/2022,Instruction,#265
English,30/09/2022,Builder,#264
English,30/09/2022,Dream,#263
English,30/09/2022,Understand,#262
English,30/09/2022,Effort,#261
English,30/09/2022,Cemetery,#260
English,30/09/2022,Smell,#259
English,30/09/2022,Convinced,#258
English,30/09/2022,Gang,#257
English,30/09/2022,Freedom,#256
English,30/09/2022,Yeah,#255
English,30/09/2022,Scent,#254
English,30/09/2022,Steam,#253
English,30/09/2022,Traffic,#252
English,30/09/2022,Merchant,#251
English,30/09/2022,Military,#250
English,30/09/2022,Suffering,#249
English,30/09/2022,Sustain,#248
English,30/09/2022,Trend,#247
English,30/09/2022,Content,#246
English,31/08/2022,Sidewalk,#245
English,31/08/2022,Commodity,#244
English,31/08/2022,Layer,#243
English,31/08/2022,Jury,#242
English,31/08/2022,Bacteria,#241
English,31/08/2022,Fly,#240
English,31/08/2022,Contrast,#239
English,31/08/2022,Processor,#238
English,31/08/2022,Him,#237
English,31/08/2022,Dining,#236
English,31/08/2022,Temple,#235
English,31/08/2022,Chest,#234
English,31/08/2022,Neighboring,#233
English,31/08/2022,Attention,#232
English,31/08/2022,Fabric,#231
English,31/08/2022,Clay,#230
English,31/08/2022,Tell,#229
English,31/08/2022,Chaos,#228
English,31/08/2022,Fare,#227
English,31/08/2022,Accelerate,#226
English,31/08/2022,Virtually,#225
English,31/08/2022,Math,#224
English,31/08/2022,Infrastructure,#223
English,31/08/2022,Middle,#222
English,31/08/2022,Shape,#221
English,31/08/2022,Wing,#220
English,31/08/2022,Colony,#219
English,31/08/2022,Autonomy,#218
English,31/08/2022,Vertical,#217
English,31/08/2022,Enthusiasm,#216
English,31/07/2022,Under,#215
English,31/07/2022,BLESS,#214
English,31/07/2022,MEDICATION,#213
English,31/07/2022,GRASP,#212
English,31/07/2022,CHILDHOOD,#211
English,31/07/2022,SUBSEQUENT,#210
English,31/07/2022,CIVILIAN,#209
English,31/07/2022,CUTE,#208
English,31/07/2022,FASHION,#207
English,31/07/2022,PARISH,#206
English,31/07/2022,MASTER,#205
English,31/07/2022,ENOUGH,#204
English,31/07/2022,DISCRIMINATION,#203
English,31/07/2022,CHOLESTEROL,#202
English,31/07/2022,OFFICE,#201
English,31/07/2022,life,#200
English,31/07/2022,DEPTH,#199
English,31/07/2022,PARTY,#198
English,31/07/2022,WARMTH,#197
English,31/07/2022,EXPLANATION,#196
English,31/07/2022,SUSTAINABLE,#195
English,31/07/2022,SOLUTION,#194
English,31/07/2022,tobacco,#193
English,31/07/2022,ACCOMPLISH,#192
English,31/07/2022,THEORETICAL,#191
English,31/07/2022,CLEARLY,#190
English,31/07/2022,INSTINCT,#189
English,31/07/2022,ADJUST,#188
English,31/07/2022,TYPICALLY,#187
English,31/07/2022,FACTORY,#186
English,31/07/2022,INVITE,#185
English,30/06/2022,TERRIBLY,#184
English,30/06/2022,ELEGANT,#183
English,30/06/2022,horror,#182
English,30/06/2022,SECULAR,#181
English,30/06/2022,TANK,#180
English,30/06/2022,FLYING,#179
English,30/06/2022,CONTAINER,#178
English,30/06/2022,ACCOUNTING,#177
English,30/06/2022,SHRIMP,#176
English,30/06/2022,SAFETY,#175
English,30/06/2022,DEVOTE,#174
English,30/06/2022,DISCOUNT,#173
English,30/06/2022,INSERT,#172
English,30/06/2022,TERRIBLE,#171
English,30/06/2022,ACHIEVEMENT,#170
English,30/06/2022,JAR,#169
English,30/06/2022,TESTIMONY,#168
English,30/06/2022,IMPOSSIBLE,#167
English,30/06/2022,RELATIONSHIP,#166
English,30/06/2022,STEP,#165
English,30/06/2022,TELESCOPE,#164
English,30/06/2022,USE,#163
English,30/06/2022,CHEESE,#162
English,30/06/2022,LESSON,#161
English,30/06/2022,BRIEF,#160
English,30/06/2022,knife,#159
English,30/06/2022,INSPIRATION,#158
English,30/06/2022,DIFFICULT,#157
English,30/06/2022,OIL,#156
English,30/06/2022,AFTER,#155
English,30/06/2022,OVERLOOK,#154
English,31/05/2022,DISCUSSION,#153
English,31/05/2022,RETIREMENT,#152
English,31/05/2022,MAGNETIC,#151
English,31/05/2022,EVALUATION,#150
English,31/05/2022,PUBLICITY,#149
English,31/05/2022,DEFICIT,#148
English,31/05/2022,LEARN,#147
English,31/05/2022,TAXPAYER,#146
English,31/05/2022,TOURIST,#145
English,31/05/2022,PALATE,#144
English,31/05/2022,WEALTHY,#143
English,31/05/2022,BADLY,#142
English,31/05/2022,ALIKE,#141
English,31/05/2022,COLUMNIST,#140
English,31/05/2022,TRAINER,#139
English,31/05/2022,CONSCIOUSNESS,#138
English,31/05/2022,efficiency,#137
English,31/05/2022,PREPARATION,#136
English,31/05/2022,PITCHER,#135
English,31/05/2022,SLOT,#134
English,31/05/2022,ELEPHANT,#133
English,31/05/2022,LAMENT,#132
English,31/05/2022,TWIST,#131
English,31/05/2022,RELATED,#130
English,31/05/2022,SHELTER,#129
English,31/05/2022,SEAT,#128
English,31/05/2022,CHEW,#127
English,31/05/2022,GLASS,#126
English,31/05/2022,OURS,#125
English,31/05/2022,AID,#124
English,30/04/2022,ARCHITECT,#123
English,30/04/2022,AFFAIR,#122
English,30/04/2022,UNCOMPLICATED,#121
English,30/04/2022,PAINTER,#120
English,30/04/2022,VOTER,#119
English,30/04/2022,MISSING,#118
English,30/04/2022,LIGHTING,#117
English,30/04/2022,EXAMPLE,#116
English,30/04/2022,checkers,#115
English,30/04/2022,COMPANY,#114
English,30/04/2022,CHESS,#113
English,30/04/2022,ACTIVE,#112
English,30/04/2022,COMMERCIAL,#111
English,30/04/2022,INDIVIDUAL,#110
English,30/04/2022,FORGETFUL,#109
English,30/04/2022,LEAN,#108
English,30/04/2022,LIMITED,#107
English,30/04/2022,POKE,#106
English,30/04/2022,VISOR,#105
English,30/04/2022,MATCH,#104
English,30/04/2022,LANDING,#103
English,30/04/2022,DEBATE,#102
English,30/04/2022,TITLE,#101
English,30/04/2022,CENTURY,#100
English,30/04/2022,SOFTLY,#99
English,30/04/2022,SPECULATION,#98
English,30/04/2022,REPEATEDLY,#97
English,30/04/2022,LEGISLATOR,#96
English,30/04/2022,GRANDPARENT,#95
English,30/04/2022,BOOTH,#94
English,30/04/2022,poem,#93
English,31/03/2022,together,#92
English,31/03/2022,offensive,#91
English,31/03/2022,headphones,#90
